BidId,TrafficType,PublisherId,AppSiteId,AppSiteCategory,Position,BidFloor,Timestamp,Age,Gender,OS,OSVersion,Model,Manufacturer,Carrier,DeviceType,DeviceId,DeviceIP,Country,Latitude,Longitude,Zipcode,GeoType,CampaignId,CreativeId,CreativeType,CreativeCategory,ExchangeBid,Outcome
9a6d57de31d7f4fc8d7d1969b5614bbec92c25fc,site,bfa911b6817a136755ba56d7cb3b45b8f8ce267f,76ea21551f6990c4f2bf370fccb5a0bfe1ddc066,Arts & Entertainment#Books & Literature,Above the Fold,0.0,1445992478,0,0,Windows,8,Nokia Lumia 520,Nokia,0,Phone,0,2c96c0f30d79fbf464a9d22cabf01f9cee4315a8,IDN,-7.2,112.8,0,IP,66591,866166,2,Advertising#Comparison,0.01,0
51a3017780a5b7d2f7aecbca3846d751dcadb652,app,77b4f6dbb5fcec348386a467bc72793f5b457851,85d0d8cb55b4b153b28ddfe5a121c0e5188eff07,Hobbies & Interests,Unknown,0.0,1445992614,0,0,Windows,8,Nokia Lumia 520,Nokia,Telkomsel,Mobile/Tablet,0,7471e84d804ccbf578b7d8bc95ed0a0216a5b561,IDN,-5.0,120.0,0,User,68331,867182,1,Computer Peripherals#Advertising,0.02,0
d894dc5fec89c179d5b1253b77b05ad575aa5129,app,1ab335267bb1f1691652228eddff9ccf32ecd096,08e04d2dd34c0937ada0d4d6476435295f834a0b,Arts & Entertainment#Humor,Above the Fold,0.0,1445992260,0,0,Windows,8,Nokia Lumia 520,Nokia,0,Phone,0,339e46fdf20b6c2ad929d3ff2f995b92266fa19f,SVN,46.1,14.5,1500,User,71175,872710,1,0,0.1,w
9bdb5fc478dcaba1e8fb7efd9661af1c071b9461,app,1ab335267bb1f1691652228eddff9ccf32ecd096,9937c72538e99b0a09dafc6a5d6eb5dbfbb21c8b,Hobbies & Interests#Style & Fashion,Footer,0.0,1445993038,0,0,Windows,8,Nokia Lumia 520,Nokia,Telkomsel,Phone,0,c9fc4c46e342702514e2845454d4b9bf39df3f7a,IDN,-6.2,106.8,0,User,66591,866166,2,Advertising#Comparison,0.01,0
3393fddc865cbefd90fd96f43a6e8028d69227dc,site,c2b8ed201bdf8a825e6d8d6710c80b6f000ddebe,b889856f1564c3f9c5c89aa957f1f47678661e59,Science#Weather,Unknown,0.0,1445992241,0,0,Windows,8,Samsung GT-I8750,Samsung,T-Mobile DE,Phone,0,b77a5973e6962a5c90fbd00b0198e377c5613ef5,DEU,53.9,10.7,23564,IP,70783,871918,1,Advertising,0.6,w
bf252da2fd9d614b6717638557e52bba2a632a45,app,60490e3f25b6460d6a809c2ce9f6f8a0ddcdf90a,8fb3056ca3a06a7d3a5e45874db58b1f863f2961,Arts & Entertainment,Unknown,0.0,1445991294,0,0,Windows,8,0,0,Telkomsel,Phone,0,0a414a65132b9c795a7786819aac6d485f3ec209,IDN,-6.1,106.8,11430,User,66591,866164,2,Advertising#Comparison,0.06,w
38ca9719aabcd418d15d8c700c9113476d39cbe1,site,1ab335267bb1f1691652228eddff9ccf32ecd096,deb9bcd34bfc1a7dbf4463c92f21fcba31161938,Arts & Entertainment#Television,Above the Fold,0.0,1445991082,0,0,Windows,8,0,0,Telkomsel,Phone,0,1294187e6878df5af19a1f4429897d6c2fb386e3,IDN,-6.1,106.8,11430,User,69891,868692,2,Advertising#Cell Phones,0.02,0
d33cda12dd2967ce326cbcd486c59386c4d0dda1,app,1ab335267bb1f1691652228eddff9ccf32ecd096,9937c72538e99b0a09dafc6a5d6eb5dbfbb21c8b,Hobbies & Interests#Style & Fashion,Footer,0.0,1445991427,0,0,Windows,8,Nokia Lumia 822,Nokia,0,Phone,0,e3bdbc8ddc8ae283a3485fb07cac0beb0e8c3fe6,ROU,45.4,28.1,0,IP,70811,871946,1,Cell Phones,0.64,w
f7f6d83450386c4adda7588feb68bb04c91c863f,app,c5e92b59655ec285d0c91a79665bea8a0d204c22,d749c8f2650d1d6e7b9ce03793e72b6576f6f1f6,Society#Uncategorized#0#0,Above the Fold,0.43,1445990784,0,0,Windows,8,Nokia Lumia 920,Nokia,0,Phone,0,25420dfbd04d11244c3f58b551a955db98793742,ROU,44.4,26.1,001553,IP,70811,871950,2,Cell Phones,0.04,w
e50db93ab7c6b7d534332100c8074b086610f7ea,app,1731eba48b2795c678092a2f2a292c954e258f3e,0c065ca77a6b162540f182c7152e83a4ac267730,Music#Technology & Computing,Unknown,0.0,1445993061,0,0,Windows,7.5,Nokia Lumia 610,Nokia,3,Phone,0,9d78756df5567a7299088930c7d6abb037560a3e,IDN,-6.2,106.8,14340,User,66591,866164,1,Advertising#Comparison,0.06,w
5fe40241abe92b6e7a2fdea17a63bd97bc5f9364,app,c252306844582ecafe005b1bf686af12842c0b44,d2f41731b42b31bc2b79b41fd5d3f626a16f96c6,News#Travel,Unknown,0.3,1445993667,0,0,Windows,8,Nokia RM-941,Nokia,Optus,Mobile/Tablet,0,022b523391a00cac14a3948fdb492d4e93392c91,AUS,-33.9,151.0,0,User,68983,866624,2,Cell Phones,0.19,0
7cd1dd017e2f5b5ecfc3d8790d75976ee40765e3,app,c2100c8402fbf3c2aaf9078a6effaac429e675b4,8ae6220f371208903e0b7ae1e70f3ef4b65ac04c,News,Unknown,0.0,1445993058,0,0,Windows,8,0,0,Telkomsel,Phone,0,211a05dc7154622aa845a4f0ce23141f6510f2e0,IDN,-7.2,112.8,0,IP,66591,866168,1,Advertising#Comparison,0.01,w
